config,num_beams,length_penalty,no_repeat_ngram_size,rouge1,rouge2,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1
"beams=8,lp=0.8,norepeat=0",8,0.8,0,0.5186017294305809,0.2796657170063514,0.43286195959113133,0.4328728545780841,0.8742481364580883,0.8668704004514785,0.8697381660032912
"beams=8,lp=0.8,norepeat=3",8,0.8,3,0.5186017294305809,0.2796657170063514,0.43286195959113133,0.4328728545780841,0.8742481364580883,0.8668704004514785,0.8697381660032912
"beams=8,lp=1.0,norepeat=3",8,1.0,3,0.5191745150087668,0.2809005880968583,0.43181129841946686,0.43154450955898654,0.8709614314002432,0.8698952311561221,0.869632375182104
"beams=12,lp=0.8,norepeat=3",12,0.8,3,0.5179315172312833,0.278249860543619,0.43168120456358805,0.43164393556389735,0.8734786838693351,0.8658488126464816,0.8688526113536914
"beams=8,lp=0.6,norepeat=3",8,0.6,3,0.5150893290546441,0.2768752305367046,0.4326872307883813,0.4323128049069399,0.8773064841863145,0.8619001203549796,0.8686881360116896
"beams=12,lp=1.0,norepeat=3",12,1.0,3,0.5177587345976302,0.2782497639663797,0.4308599210641163,0.4304660891751625,0.8695893889527326,0.8691187564997737,0.868567250368796
"beams=4,lp=0.8,norepeat=3",4,0.8,3,0.515306309631629,0.2748655515542448,0.4288099002970434,0.428795560865992,0.8721827359572144,0.8663414103935344,0.8684556845198038
"beams=4,lp=1.0,norepeat=3",4,1.0,3,0.5159062570705267,0.2745305541450278,0.4275457749393456,0.42717644342928873,0.8698172499408652,0.868615427951673,0.8684260659602099
"beams=4,lp=0.6,norepeat=3",4,0.6,3,0.5136185771688522,0.27388254395139144,0.4299211693027204,0.42965670254096555,0.8746689440129878,0.8634560728975559,0.8681996953793061
"beams=12,lp=0.6,norepeat=3",12,0.6,3,0.5126328764754355,0.27537662294363974,0.4312119613491294,0.43078054896821916,0.8780670106338203,0.8595468622424227,0.8678529395725264
